id,nome,codigo_ibge,lat,lon
176,Sete Barras,3551801,-24.3878438,-47.9265798
177,Socorro,3552106,-22.5902619,-46.5249112
178,Sorocaba,3552205,-23.5003451,-47.4582864
179,Sumaré,3552403,-22.8217964,-47.267105
180,Suzano,3552502,-23.5427842,-46.3108391
181,São Bernardo do Campo,3548708,-23.7080345,-46.5506747
182,São Caetano do Sul,3548807,-23.6195923,-46.5688323
183,São José do Rio Pardo,3549706,-21.595288,-46.887303
184,São João da Boa Vista,3549102,-21.9687099,-46.7969216
185,São Lourenço da Serra,3549953,-23.8535923,-46.9440587
186,São Miguel Arcanjo,3550209,-23.8807771,-47.9963492
187,São Paulo,3550308,-23.5506507,-46.6333824
188,São Pedro,3550407,-22.5512765,-47.9072359
189,São Roque,3550605,-23.5304843,-47.1355473
190,São Sebastião da Grama,3550803,-21.7118854,-46.8284162
191,São Vicente,3551009,-23.9664177,-46.3861401
192,Taboão da Serra,3552809,-23.6121912,-46.7790539
193,Taguaí,3553005,-23.4534312,-49.4054454
194,Tambaú,3553302,-21.70292,-47.270344
195,Tapiratiba,3553609,-21.46824,-46.7493221
196,Tapiraí,3553500,-23.9638345,-47.5067136
197,Taquarituba,3553807,-23.5337307,-49.2452541
198,Taquarivaí,3553856,-23.9257829,-48.7005328
199,Tatuí,3554003,-23.3489848,-47.8490165
200,Tietê,3554508,-23.1030302,-47.7147937
201,Torre de Pedra,3554656,-23.2478026,-48.1941034
202,Tuiuti,3554953,-22.8129751,-46.6936447
203,Valinhos,3556206,-22.97056,-46.99583
204,Vargem,3556354,-22.8902379,-46.4145366
205,Vargem Grande Paulista,3556453,-23.599338,-47.022038
206,Vargem Grande do Sul,3556404,-21.8310636,-46.893303
207,Vinhedo,3556701,-23.0298535,-46.9749847
208,Votorantim,3557006,-23.5380539,-47.4422137
209,Várzea Paulista,3556503,-23.2113889,-46.8283333
210,Águas da Prata,3500402,-21.9464285,-46.7192121
211,Águas de Lindóia,3500501,-22.4718855,-46.6291034
212,Águas de Santa Bárbara,3500550,-22.8821912,-49.2383956
213,Águas de São Pedro,3500600,-22.6000681,-47.8750887
214,Óleo,3533809,-22.9422754,-49.3408082
